GO:0006396	,TC200933,TC203636,TC236307,TC226561,TC206262,TC200385,TC200388,TC200390,TC208224,TC199575,TC202373,TC220701,TC220731,TC203761,TC200422,TC200424,TC200425,TC200454,TC200458,TC200460,TC218856,TC199660,TC205015,TC201831,TC222024,TC225379,TC221439,TC224782,TC221440,TC203822,TC200515,TC201176,TC200539,TC223474,TC220134,TC218941,TC202507,TC225472,TC201979,TC221517,TC228061,TC207897,TC201262,TC220229,TC199813,TC220230,TC223595,TC223596,TC204620,TC219748,TC219749,TC200006,TC228984,TC221761,TC204789,TC221051,TC221052,TC221053,TC221078,TC219898,TC219899,TC206062,TC221854,TC201556	64
GO:0008283	,TC201590,TC211365,TC206833,TC204152,TC200957,TC204161,TC200978,TC219966,TC220502,TC220503,TC223861,TC227074,TC221192,TC203550,TC219214,TC219236,TC223115,TC219242,TC220580,TC200263,TC212714,TC199405,TC199406,TC222505,TC219288,TC202984,TC225853,TC223177,TC199423,TC199424,TC199428,TC199438,TC202211,TC235651,TC199453,TC202249,TC199474,TC202260,TC199492,TC201627,TC214735,TC207521,TC224514,TC207548,TC207549,TC201669,TC221999,TC237654,TC220602,TC200324,TC200325,TC200327,TC200328,TC206219,TC200330,TC220675,TC205600,TC223244,TC199504,TC200394,TC200395,TC210186,TC228523,TC229198,TC202343,TC202351,TC202354,TC225229,TC199591,TC201710,TC201711,TC201734,TC231893,TC203706,TC201025,TC201026,TC201027,TC201028,TC201030,TC220701,TC203721,TC221364,TC203722,TC203729,TC213502,TC220736,TC231165,TC203773,TC203774,TC219424,TC231182,TC230527,TC210202,TC206329,TC206339,TC200473,TC229226,TC206368,TC220027,TC220028,TC220047,TC218851,TC203083,TC222755,TC235866,TC225315,TC220091,TC205798,TC214903,TC199688,TC222780,TC228672,TC201813,TC201815,TC202472,TC207704,TC202486,TC225372,TC201854,TC222044,TC211638,TC222063,TC221414,TC237860,TC207006,TC204474,TC231220,TC227373,TC203853,TC219501,TC219502,TC224040,TC224041,TC203869,TC213677,TC218908,TC206463,TC203126,TC213687,TC200585,TC218913,TC200586,TC200588,TC219579,TC219580,TC223462,TC209051,TC218978,TC225402,TC225405,TC215650,TC222128,TC205150,TC222148,TC205187,TC228059,TC222181,TC227411,TC221534,TC204556,TC222199,TC227420,TC228084,TC203907,TC203908,TC201225,TC201226,TC203913,TC204572,TC211793,TC201239,TC201245,TC221587,TC221589,TC203960,TC200627,TC200629,TC207173,TC200630,TC200632,TC236617,TC219636,TC219644,TC219658,TC203210,TC220209,TC219673,TC219675,TC219676,TC223551,TC223552,TC220210,TC199802,TC209152,TC205954,TC220267,TC226154,TC203294,TC209186,TC208531,TC212424,TC207923,TC225593,TC221611,TC201309,TC221631,TC221632,TC201312,TC207212,TC224209,TC227562,TC200717,TC219704,TC219706,TC219713,TC219714,TC219716,TC211187,TC206660,TC203349,TC220330,TC223691,TC220357,TC233467,TC220361,TC202728,TC203389,TC208618,TC219040,TC228955,TC205317,TC205318,TC225660,TC228238,TC222355,TC222356,TC222357,TC201404,TC228285,TC237404,TC200820,TC200821,TC219817,TC219818,TC236807,TC206722,TC200859,TC203402,TC200860,TC219855,TC221059,TC200871,TC219873,TC219874,TC220418,TC209326,TC203456,TC226332,TC220463,TC202880,TC206088,TC223075,TC212653,TC202896,TC236190,TC215236,TC225799,TC232222,TC228360,TC221822,TC204859,TC221853,TC202191,TC221868,TC204883,TC201549,TC204898,TC200902,TC219902,TC219903	280
GO:0007162	,TC201590,TC219922,TC205629,TC222151,TC201976,TC207876,TC226982,TC204784,TC206072	9
GO:0007155	,TC201590,TC221123,TC224488,TC227038,TC220504,TC219971,TC219978,TC220517,TC219207,TC206100,TC206116,TC202934,TC202959,TC219262,TC202979,TC219288,TC206187,TC199426,TC223183,TC199435,TC205556,TC204906,TC199453,TC228474,TC208158,TC204954,TC201625,TC221976,TC224570,TC220606,TC203692,TC233798,TC223244,TC225945,TC219389,TC222616,TC229171,TC222644,TC208219,TC202335,TC225224,TC208249,TC201701,TC199595,TC235036,TC225277,TC201767,TC204324,TC227210,TC234453,TC231124,TC220704,TC204380,TC220736,TC200428,TC230510,TC219419,TC203778,TC220761,TC220770,TC220771,TC209690,TC220012,TC235800,TC218838,TC205732,TC206397,TC218847,TC220047,TC218851,TC220055,TC205780,TC201803,TC202472,TC208362,TC224707,TC211617,TC201854,TC201862,TC205075,TC227317,TC221441,TC201135,TC221469,TC207058,TC220838,TC201185,TC213642,TC220878,TC203105,TC203106,TC218908,TC213687,TC200580,TC218910,TC209040,TC218965,TC199749,TC199756,TC201907,TC225451,TC222118,TC225465,TC211708,TC201952,TC222151,TC221500,TC205182,TC204528,TC201981,TC228055,TC224869,TC224875,TC201245,TC231330,TC200606,TC200607,TC230708,TC219618,TC223509,TC231396,TC224179,TC226879,TC210447,TC200680,TC209110,TC199800,TC209145,TC202600,TC203270,TC215741,TC199878,TC199894,TC207985,TC217758,TC204660,TC221667,TC201343,TC200718,TC201379,TC206613,TC219728,TC209203,TC200798,TC199923,TC219008,TC200024,TC220356,TC215820,TC202728,TC203389,TC228979,TC205342,TC202007,TC228238,TC235463,TC221705,TC205385,TC222379,TC202071,TC224318,TC200813,TC200814,TC200820,TC200821,TC221022,TC200855,TC200858,TC230947,TC224399,TC204078,TC200871,TC200878,TC230963,TC200890,TC200891,TC203458,TC223783,TC220463,TC219147,TC202866,TC219175,TC232222,TC208028,TC202143,TC202144,TC221812,TC202166,TC238142,TC208087,TC204118,TC219902,TC219903	193
GO:0007601	,TC201590,TC219924,TC204156,TC234249,TC203546,TC223108,TC202203,TC221922,TC202260,TC211407,TC224565,TC229808,TC200362,TC200363,TC223267,TC222655,TC201721,TC201744,TC225289,TC227210,TC233814,TC220715,TC213520,TC200442,TC200443,TC216892,TC199616,TC220031,TC231935,TC221412,TC227341,TC224006,TC220829,TC209739,TC218950,TC222835,TC202542,TC211703,TC235249,TC207884,TC203938,TC208502,TC199881,TC213090,TC207922,TC221624,TC200746,TC200747,TC200748,TC200749,TC200787,TC208650,TC204728,TC235490,TC234841,TC206722,TC219889,TC223008,TC220468,TC226359,TC209373,TC200167,TC200168,TC200169,TC200179,TC200181,TC200183,TC225745,TC206088,TC202889,TC232976,TC206091,TC202141,TC222492,TC221845	75
GO:0006357	,TC201591,TC200960,TC227051,TC223876,TC203550,TC220588,TC202949,TC208830,TC209495,TC223146,TC229069,TC204928,TC202249,TC225124,TC214703,TC227833,TC202294,TC214747,TC225194,TC223907,TC224575,TC214021,TC221255,TC204286,TC221287,TC203646,TC206210,TC206219,TC226545,TC206226,TC226556,TC203699,TC216020,TC199503,TC225964,TC205676,TC202377,TC201779,TC221300,TC221326,TC221371,TC221372,TC200415,TC201094,TC219422,TC201095,TC233860,TC213567,TC226677,TC203014,TC220794,TC223345,TC206362,TC199639,TC218871,TC199686,TC205009,TC202461,TC202462,TC222794,TC215578,TC202474,TC201835,TC207735,TC208394,TC224729,TC204405,TC201861,TC222055,TC211638,TC221402,TC201880,TC201113,TC221441,TC201124,TC227338,TC221452,TC221454,TC201146,TC207083,TC200588,TC226790,TC210373,TC223483,TC203193,TC225419,TC225423,TC222882,TC222891,TC222895,TC202577,TC225445,TC222139,TC225488,TC201971,TC201201,TC222198,TC230728,TC200644,TC203989,TC220981,TC203216,TC236656,TC203233,TC203244,TC203251,TC202609,TC213033,TC228820,TC199845,TC225511,TC218309,TC199895,TC207923,TC225583,TC211838,TC221631,TC221632,TC201325,TC224995,TC227562,TC234793,TC223605,TC230829,TC203315,TC220310,TC200798,TC203349,TC220330,TC228953,TC219064,TC202766,TC205317,TC205318,TC230195,TC222325,TC212565,TC222352,TC222353,TC201400,TC201417,TC201440,TC231552,TC211264,TC219849,TC210626,TC200872,TC219886,TC219887,TC219888,TC220420,TC203447,TC219890,TC221091,TC229668,TC215907,TC206019,TC206065,TC223051,TC208081,TC201578,TC224447	162
GO:0005975	,TC201591,TC219920,TC200963,TC219215,TC202976,TC199400,TC225846,TC223165,TC204964,TC225177,TC207576,TC206928,TC227124,TC220604,TC220605,TC221262,TC203627,TC220665,TC206239,TC220687,TC236335,TC199508,TC223270,TC222616,TC225963,TC202310,TC222696,TC227993,TC201001,TC220711,TC221387,TC231155,TC219422,TC220772,TC220773,TC200470,TC205711,TC235800,TC220063,TC202432,TC225312,TC218891,TC222041,TC201888,TC204443,TC204466,TC201195,TC220878,TC203151,TC222861,TC220181,TC220182,TC199774,TC235264,TC222160,TC201261,TC214370,TC203990,TC223533,TC203279,TC220268,TC202639,TC202640,TC222997,TC205244,TC225588,TC211164,TC200763,TC203313,TC203314,TC213874,TC200777,TC220300,TC220302,TC226204,TC220338,TC200030,TC202737,TC199965,TC228957,TC205342,TC202018,TC202020,TC202040,TC221717,TC202075,TC221755,TC221787,TC201473,TC230924,TC230947,TC221046,TC200861,TC204085,TC200113,TC202813,TC220455,TC202835,TC209383,TC223040,TC219195,TC202893,TC205464,TC202132,TC208024,TC204835,TC222489,TC222490,TC204857,TC219904,TC200927	111
GO:0016481	,TC201591,TC200960,TC219214,TC199402,TC214703,TC202284,TC221206,TC214021,TC226556,TC220675,TC225217,TC224688,TC219422,TC203082,TC201890,TC201892,TC224018,TC200518,TC225408,TC207833,TC207879,TC221561,TC227494,TC225520,TC228197,TC201380,TC223609,TC230829,TC203380,TC228984,TC219083,TC222367,TC211205,TC201440,TC219827,TC219875,TC213247,TC202176,TC201569	39
GO:0009451	,TC201591,TC219422	2
GO:0045944	,TC201591,TC221158,TC203550,TC230383,TC199433,TC225124,TC226545,TC221378,TC221379,TC219422,TC220019,TC220020,TC201861,TC227338,TC216936,TC206424,TC207083,TC199741,TC224842,TC219648,TC219649,TC220981,TC213033,TC226151,TC234732,TC226947,TC223605,TC220310,TC225624,TC212522,TC225704,TC201578	32
