"PARD3" "RTN4" "ASZ1" "SLITRK6" "SLITRK2" "GJA1" "GLI3" "SLITRK1" "LAMB1" "SLITRK4" "LRRC4C" "NKX2-2" "PEX13" "POU4F3" "EPHB3" "NRXN1" "PTPN11" "CHL1" "NF2" "ROBO1" "ALS2" "PARD6B" "TGFB2" "TIAM1" "TNR" "PTEN" "DNER" "UNC5C" "NRP2" "NRP1" "LDB1" "SEMA5A" "EMX2" "SHH" "DRD1" "SEMA3A" "GATA2" "CREB1" "SEMA6A" "HHIP" "SLIT2" "RELN" "PAFAH1B1" "NEFM" "MAP1B" "DLX5" "VEGFC" "TLX1" "ROBO2" "SIX1" "NR4A2" "MDGA2" "B3GNT2" "NTRK3" "STMN2" "KATNA1" "APP" "MYO6" "TRAPPC4" "NLGN1" "CCK" "TOP2B" "NR2F2" "SLITRK3" "BMP2" "CDK5RAP1" "CDK6"
"RELN" 0.761 -0.632 0.782 0.887 -0.84 0.767 0.748 -0.828 0.623 -0.41 -0.736 -0.209 -0.685 -0.536 0.553 -0.438 0.459 0.679 0.825 0.819 0.767 -0.311 -0.836 0.715 0.424 -0.77 0.594 0.842 -0.608 -0.172 0.478 0.897 -0.748 -0.025 0.6 0.725 -0.208 -0.605 0.809 -0.634 0.62 1 0.414 0.668 0.984 -0.244 0.433 0.477 0.934 -0.708 -0.884 -0.854 0.49 -0.131 -0.526 -0.156 0.875 0.622 0.485 0.334 0.219 0.774 -0.695 0.358 -0.361 0.78 -0.201
"PAFAH1B1" 0.572 -0.505 0.698 0.052 0.117 0.66 0.139 -0.112 0.715 0.46 0.266 0.017 -0.161 0.301 0.257 0.548 0.558 -0.142 0.157 0.626 0.808 0.345 -0.152 0.343 0.817 0.222 0.087 0.607 0.299 0.61 0.896 0.278 0.263 -0.492 -0.004 0.695 -0.913 -0.612 0.022 -0.098 -0.285 0.414 1 0.779 0.286 0.218 0.753 -0.526 0.135 0.15 -0.069 -0.083 0.204 -0.02 0.297 -0.735 0.429 0.783 0.396 0.888 0.45 0.834 0.332 -0.555 0.578 -0.237 0.046
"NEFM" 0.581 -0.469 0.977 0.352 -0.328 0.791 0.441 -0.531 0.949 0.048 -0.119 -0.391 -0.542 -0.064 0.532 0.261 0.858 0.332 0.508 0.865 0.977 0.246 -0.541 0.711 0.819 -0.136 0.628 0.933 -0.235 0.494 0.934 0.657 -0.097 -0.033 0.301 0.913 -0.813 -0.897 0.438 -0.274 0.177 0.668 0.779 1 0.636 -0.042 0.812 0.056 0.471 -0.3 -0.466 -0.455 0.116 0.423 0.021 -0.704 0.659 0.921 0.094 0.897 0.445 0.963 -0.103 -0.354 0.179 0.219 0.007
"MAP1B" 0.672 -0.558 0.762 0.904 -0.9 0.708 0.761 -0.857 0.592 -0.51 -0.796 -0.282 -0.72 -0.593 0.543 -0.521 0.451 0.771 0.836 0.806 0.722 -0.323 -0.856 0.737 0.354 -0.819 0.66 0.834 -0.7 -0.208 0.412 0.907 -0.803 0.08 0.667 0.688 -0.119 -0.586 0.847 -0.659 0.705 0.984 0.286 0.636 1 -0.29 0.399 0.617 0.966 -0.764 -0.918 -0.895 0.467 -0.036 -0.567 -0.077 0.845 0.559 0.364 0.262 0.214 0.711 -0.781 0.432 -0.462 0.862 -0.231
"DLX5" -0.238 -0.485 -0.035 -0.156 0.468 0.175 -0.823 0.429 -0.308 0.841 0.57 0.834 -0.217 0.843 -0.115 0.575 0.01 0.068 -0.244 0.157 -0.07 0.818 0.604 0.213 0.511 0.522 -0.362 -0.311 0.643 0.422 -0.016 -0.296 0.526 -0.6 0.2 0.134 -0.308 0.009 -0.249 0.49 -0.811 -0.244 0.218 -0.042 -0.29 1 0.389 -0.499 -0.236 0.607 0.605 0.636 0.299 -0.099 0.847 -0.243 -0.041 -0.057 -0.362 0.218 0.292 -0.031 0.583 0.027 0.801 -0.388 0.438
"VEGFC" 0.168 -0.425 0.767 0.113 0.005 0.556 -0.006 -0.069 0.613 0.324 0.226 -0.021 -0.377 0.418 0.071 0.388 0.54 0.312 0.095 0.855 0.816 0.654 -0.048 0.543 0.832 0.19 0.182 0.634 0.219 0.793 0.837 0.255 0.206 -0.499 0.524 0.69 -0.801 -0.573 0.061 -0.28 -0.197 0.433 0.753 0.812 0.399 0.389 1 -0.152 0.348 0.187 -0.062 -0.183 0.471 0.249 0.455 -0.488 0.337 0.594 -0.114 0.809 0.83 0.745 0.137 -0.253 0.498 0.019 -0.158
"TLX1" 0.038 0.056 0.198 0.631 -0.833 0.058 0.572 -0.645 0.085 -0.843 -0.829 -0.469 -0.48 -0.738 0.261 -0.807 0.081 0.772 0.55 0.244 0.068 -0.46 -0.627 0.389 -0.298 -0.799 0.616 0.338 -0.873 -0.502 -0.224 0.555 -0.818 0.574 0.57 0.092 0.512 -0.121 0.672 -0.499 0.867 0.477 -0.526 0.056 0.617 -0.499 -0.152 1 0.681 -0.769 -0.726 -0.723 0.125 0.24 -0.678 0.433 0.329 -0.063 -0.17 -0.355 -0.083 0.006 -0.909 0.66 -0.854 0.895 -0.276
"ROBO2" 0.507 -0.494 0.615 0.899 -0.892 0.556 0.681 -0.746 0.391 -0.566 -0.812 -0.179 -0.659 -0.554 0.356 -0.655 0.237 0.832 0.73 0.752 0.584 -0.318 -0.741 0.643 0.213 -0.839 0.51 0.691 -0.649 -0.253 0.252 0.792 -0.838 -0.02 0.797 0.522 0.057 -0.382 0.775 -0.747 0.706 0.934 0.135 0.471 0.966 -0.236 0.348 0.681 1 -0.69 -0.863 -0.892 0.628 -0.163 -0.555 0.156 0.725 0.34 0.323 0.072 0.291 0.546 -0.844 0.615 -0.515 0.918 -0.364
"SIX1" -0.628 0.281 -0.441 -0.814 0.934 -0.476 -0.818 0.953 -0.418 0.707 0.927 0.471 0.609 0.915 -0.724 0.63 -0.403 -0.592 -0.895 -0.314 -0.317 0.684 0.95 -0.549 0.043 0.912 -0.817 -0.585 0.974 0.646 -0.015 -0.875 0.893 -0.652 -0.234 -0.427 -0.236 0.479 -0.916 0.337 -0.872 -0.708 0.15 -0.3 -0.764 0.607 0.187 -0.769 -0.69 1 0.931 0.77 0.097 -0.137 0.848 0.01 -0.724 -0.393 -0.273 0.063 0.405 -0.365 0.83 -0.408 0.772 -0.827 -0.051
"NR4A2" -0.684 0.329 -0.59 -0.859 0.959 -0.54 -0.92 0.927 -0.542 0.732 0.926 0.49 0.573 0.861 -0.59 0.667 -0.375 -0.629 -0.858 -0.534 -0.536 0.635 0.967 -0.558 -0.064 0.926 -0.727 -0.747 0.884 0.467 -0.234 -0.899 0.911 -0.386 -0.419 -0.508 -0.098 0.491 -0.869 0.619 -0.896 -0.884 -0.069 -0.466 -0.918 0.605 -0.062 -0.726 -0.863 0.931 1 0.936 -0.19 0 0.831 -0.021 -0.76 -0.466 -0.431 -0.063 0.095 -0.543 0.88 -0.405 0.721 -0.88 0.22
"MDGA2" -0.498 0.151 -0.548 -0.737 0.876 -0.365 -0.913 0.75 -0.507 0.805 0.846 0.554 0.391 0.773 -0.294 0.73 -0.208 -0.599 -0.645 -0.57 -0.558 0.568 0.838 -0.403 0.015 0.847 -0.55 -0.732 0.755 0.292 -0.295 -0.74 0.847 -0.204 -0.55 -0.378 -0.105 0.329 -0.676 0.85 -0.899 -0.854 -0.083 -0.455 -0.895 0.636 -0.183 -0.723 -0.892 0.77 0.936 1 -0.387 0.06 0.777 -0.199 -0.571 -0.333 -0.419 -0.032 -0.188 -0.497 0.894 -0.406 0.72 -0.863 0.54
"B3GNT2" 0.024 -0.37 0.189 0.41 -0.253 0.159 0.054 0.017 -0.103 -0.076 -0.206 0.379 -0.185 0.144 -0.334 -0.362 -0.3 0.477 0.038 0.544 0.283 0.136 0.02 0.179 0.162 -0.264 -0.29 0.164 0.139 0.133 0.118 0.103 -0.287 -0.736 0.801 0.101 0.034 0.165 0.085 -0.661 0.063 0.49 0.204 0.116 0.467 0.299 0.471 0.125 0.628 0.097 -0.19 -0.387 1 -0.576 0.04 0.393 0.184 -0.117 0.27 -0.052 0.687 0.2 -0.331 0.561 0.02 0.413 -0.559
"NTRK3" -0.173 0.212 0.369 -0.194 0.014 0.115 -0.01 -0.178 0.458 -0.008 0.148 -0.569 -0.27 0.007 0.331 0.34 0.663 0.142 0.096 0.155 0.236 0.349 -0.131 0.353 0.282 0.2 0.623 0.323 -0.262 0.364 0.32 0.157 0.214 0.601 -0.065 0.336 -0.352 -0.535 0.116 0.286 0.071 -0.131 -0.02 0.423 -0.036 -0.099 0.249 0.24 -0.163 -0.137 0 0.06 -0.576 1 0.181 -0.465 0.021 0.363 -0.719 0.433 0.018 0.199 0.104 -0.424 0.037 -0.063 0.285
"STMN2" -0.465 -0.079 -0.082 -0.597 0.788 -0.071 -0.873 0.69 -0.176 0.881 0.893 0.52 0.134 0.982 -0.331 0.82 0.045 -0.278 -0.582 0.011 -0.059 0.947 0.789 -0.057 0.461 0.871 -0.443 -0.329 0.831 0.755 0.176 -0.568 0.872 -0.536 -0.062 0.006 -0.499 0.042 -0.606 0.53 -0.92 -0.526 0.297 0.021 -0.567 0.847 0.455 -0.678 -0.555 0.848 0.831 0.777 0.04 0.181 1 -0.348 -0.377 -0.052 -0.518 0.377 0.42 -0.073 0.841 -0.414 0.922 -0.717 0.299
"KATNA1" -0.52 0.475 -0.638 0.024 -0.146 -0.694 0.024 0.246 -0.701 -0.561 -0.308 0.066 0.363 -0.242 -0.636 -0.753 -0.858 0.141 -0.303 -0.39 -0.596 -0.397 0.192 -0.504 -0.825 -0.296 -0.435 -0.495 -0.092 -0.448 -0.699 -0.343 -0.353 -0.059 0.304 -0.753 0.869 0.821 -0.175 -0.454 0.335 -0.156 -0.735 -0.704 -0.077 -0.243 -0.488 0.433 0.156 0.01 -0.021 -0.199 0.393 -0.465 -0.348 1 -0.463 -0.856 0.018 -0.888 0.03 -0.693 -0.464 0.685 -0.568 0.34 -0.616
"APP" 0.871 -0.833 0.786 0.873 -0.749 0.939 0.552 -0.889 0.617 -0.126 -0.625 -0.038 -0.861 -0.44 0.858 -0.164 0.681 0.623 0.949 0.724 0.689 -0.198 -0.814 0.871 0.595 -0.658 0.727 0.761 -0.595 -0.24 0.414 0.951 -0.616 0.139 0.369 0.862 -0.311 -0.791 0.903 -0.182 0.41 0.875 0.429 0.659 0.845 -0.041 0.337 0.329 0.725 -0.724 -0.76 -0.571 0.184 0.021 -0.377 -0.463 1 0.764 0.358 0.44 -0.092 0.781 -0.472 0.237 -0.169 0.615 0.298
"MYO6" 0.779 -0.583 0.91 0.384 -0.317 0.884 0.441 -0.621 0.93 0.147 -0.143 -0.3 -0.566 -0.144 0.755 0.346 0.92 0.19 0.632 0.703 0.881 0.102 -0.612 0.708 0.813 -0.16 0.676 0.86 -0.277 0.287 0.837 0.719 -0.105 0.101 0.025 0.936 -0.795 -0.957 0.523 -0.023 0.124 0.622 0.783 0.921 0.559 -0.057 0.594 -0.063 0.34 -0.393 -0.466 -0.333 -0.117 0.363 -0.052 -0.856 0.764 1 0.234 0.879 0.099 0.945 -0.016 -0.424 0.199 0.128 0.303
"TRAPPC4" 0.697 -0.276 0.114 0.36 -0.281 0.267 0.559 -0.284 0.201 -0.194 -0.368 0.032 0.132 -0.397 0.131 -0.284 -0.139 -0.2 0.29 0.089 0.255 -0.618 -0.41 -0.122 -0.046 -0.405 -0.128 0.245 -0.095 -0.341 0.172 0.298 -0.388 -0.271 -0.147 0.1 -0.014 0 0.195 -0.411 0.263 0.485 0.396 0.094 0.364 -0.362 -0.114 -0.17 0.323 -0.273 -0.431 -0.419 0.27 -0.719 -0.518 0.018 0.358 0.234 1 0.004 -0.138 0.32 -0.244 0.045 -0.196 0.168 -0.245
"NLGN1" 0.448 -0.429 0.813 0.004 0.091 0.693 0.085 -0.203 0.834 0.446 0.296 -0.181 -0.337 0.297 0.42 0.656 0.825 -0.007 0.223 0.666 0.836 0.505 -0.196 0.53 0.905 0.276 0.38 0.691 0.145 0.702 0.935 0.35 0.321 -0.182 0.009 0.814 -0.983 -0.818 0.114 0.074 -0.246 0.334 0.888 0.897 0.262 0.218 0.809 -0.355 0.072 0.063 -0.063 -0.032 -0.052 0.433 0.377 -0.888 0.44 0.879 0.004 1 0.408 0.851 0.344 -0.646 0.561 -0.218 0.225
"CCK" -0.239 -0.031 0.382 -0.092 0.132 0.066 -0.088 0.267 0.244 0.12 0.27 -0.013 0.009 0.455 -0.457 0.123 0.025 0.216 -0.287 0.608 0.504 0.569 0.226 0.122 0.4 0.242 -0.206 0.32 0.37 0.764 0.559 -0.114 0.223 -0.66 0.62 0.208 -0.445 -0.058 -0.264 -0.533 -0.156 0.219 0.45 0.445 0.214 0.292 0.83 -0.083 0.291 0.405 0.095 -0.188 0.687 0.018 0.42 0.03 -0.092 0.099 -0.138 0.408 1 0.351 0.056 -0.061 0.337 0.013 -0.597
"TOP2B" 0.756 -0.625 0.966 0.486 -0.401 0.886 0.501 -0.604 0.915 0.062 -0.217 -0.256 -0.575 -0.128 0.602 0.196 0.803 0.326 0.612 0.868 0.979 0.118 -0.614 0.722 0.821 -0.248 0.581 0.928 -0.247 0.348 0.891 0.734 -0.204 -0.117 0.283 0.937 -0.771 -0.881 0.522 -0.295 0.19 0.774 0.834 0.963 0.711 -0.031 0.745 0.006 0.546 -0.365 -0.543 -0.497 0.2 0.199 -0.073 -0.693 0.781 0.945 0.32 0.851 0.351 1 -0.149 -0.264 0.162 0.269 0.046
"NR2F2" -0.303 0.091 -0.255 -0.787 0.934 -0.175 -0.766 0.725 -0.147 0.89 0.957 0.397 0.432 0.842 -0.264 0.92 0.006 -0.717 -0.643 -0.328 -0.193 0.66 0.755 -0.348 0.284 0.949 -0.512 -0.435 0.858 0.596 0.136 -0.657 0.962 -0.368 -0.579 -0.138 -0.489 0.1 -0.729 0.706 -0.938 -0.695 0.332 -0.103 -0.781 0.583 0.137 -0.909 -0.844 0.83 0.88 0.894 -0.331 0.104 0.841 -0.464 -0.472 -0.016 -0.244 0.344 0.056 -0.149 1 -0.711 0.89 -0.967 0.418
"SLITRK3" -0.041 -0.248 -0.164 0.658 -0.615 -0.018 0.14 -0.308 -0.461 -0.47 -0.669 0.305 -0.394 -0.371 -0.014 -0.792 -0.398 0.712 0.353 0.106 -0.249 -0.332 -0.224 0.219 -0.341 -0.688 0.042 -0.122 -0.434 -0.628 -0.575 0.268 -0.717 -0.003 0.667 -0.153 0.711 0.298 0.475 -0.377 0.447 0.358 -0.555 -0.354 0.432 0.027 -0.253 0.66 0.615 -0.408 -0.405 -0.406 0.561 -0.424 -0.414 0.685 0.237 -0.424 0.045 -0.646 -0.061 -0.264 -0.711 1 -0.555 0.753 -0.2
"BMP2" -0.126 -0.278 0.069 -0.5 0.751 0.16 -0.724 0.56 0.018 0.968 0.858 0.545 0.107 0.92 -0.145 0.912 0.178 -0.398 -0.431 0.094 0.125 0.835 0.634 0 0.62 0.821 -0.407 -0.172 0.838 0.728 0.361 -0.414 0.841 -0.61 -0.208 0.188 -0.686 -0.125 -0.517 0.535 -0.935 -0.361 0.578 0.179 -0.462 0.801 0.498 -0.854 -0.515 0.772 0.721 0.72 0.02 0.037 0.922 -0.568 -0.169 0.199 -0.196 0.561 0.337 0.162 0.89 -0.555 1 -0.763 0.389
"CDK5RAP1" 0.36 -0.301 0.391 0.887 -0.965 0.354 0.682 -0.784 0.197 -0.755 -0.939 -0.267 -0.631 -0.738 0.376 -0.829 0.128 0.861 0.742 0.493 0.299 -0.497 -0.763 0.551 -0.078 -0.942 0.586 0.509 -0.84 -0.522 -0.062 0.752 -0.949 0.295 0.706 0.313 0.371 -0.241 0.827 -0.64 0.852 0.78 -0.237 0.219 0.862 -0.388 0.019 0.895 0.918 -0.827 -0.88 -0.863 0.413 -0.063 -0.717 0.34 0.615 0.128 0.168 -0.218 0.013 0.269 -0.967 0.753 -0.763 1 -0.289
"CDK6" 0.245 -0.46 0.043 0.025 0.146 0.391 -0.387 -0.151 -0.003 0.572 0.196 0.374 -0.406 0.194 0.632 0.534 0.46 -0.058 0.286 -0.136 -0.125 0.241 0.023 0.363 0.378 0.192 0.282 -0.134 0.014 -0.139 -0.117 0.147 0.233 0.3 -0.406 0.315 -0.214 -0.396 0.228 0.882 -0.414 -0.201 0.046 0.007 -0.231 0.438 -0.158 -0.276 -0.364 -0.051 0.22 0.54 -0.559 0.285 0.299 -0.616 0.298 0.303 -0.245 0.225 -0.597 0.046 0.418 -0.2 0.389 -0.289 1
