"PARD3" "RTN4" "ASZ1" "SLITRK6" "SLITRK2" "GJA1" "GLI3" "SLITRK1" "LAMB1" "SLITRK4" "LRRC4C" "NKX2-2" "PEX13" "POU4F3" "EPHB3" "NRXN1" "PTPN11" "CHL1" "NF2" "ROBO1" "ALS2" "PARD6B" "TGFB2" "TIAM1" "TNR" "PTEN" "DNER" "UNC5C" "NRP2" "NRP1" "LDB1" "SEMA5A" "EMX2" "SHH" "DRD1" "SEMA3A" "GATA2" "CREB1" "SEMA6A" "HHIP" "SLIT2" "RELN" "PAFAH1B1" "NEFM" "MAP1B" "DLX5" "VEGFC" "TLX1" "ROBO2" "SIX1" "NR4A2" "MDGA2" "B3GNT2" "NTRK3" "STMN2" "KATNA1" "APP" "MYO6" "TRAPPC4" "NLGN1" "CCK" "TOP2B" "NR2F2" "SLITRK3" "BMP2" "CDK5RAP1" "CDK6"
"LRRC4C" -0.508 0.25 -0.286 -0.87 0.969 -0.325 -0.795 0.843 -0.192 0.806 1 0.322 0.517 0.902 -0.475 0.852 -0.097 -0.667 -0.791 -0.295 -0.202 0.744 0.853 -0.421 0.213 0.997 -0.589 -0.453 0.907 0.724 0.145 -0.769 0.996 -0.438 -0.43 -0.237 -0.447 0.211 -0.845 0.55 -0.909 -0.736 0.266 -0.119 -0.796 0.57 0.226 -0.829 -0.812 0.927 0.926 0.846 -0.206 0.148 0.893 -0.308 -0.625 -0.143 -0.368 0.296 0.27 -0.217 0.957 -0.669 0.858 -0.939 0.196
"NKX2-2" -0.104 -0.493 -0.334 0 0.337 0.047 -0.69 0.386 -0.593 0.66 0.322 1 -0.073 0.591 -0.162 0.25 -0.351 -0.021 -0.184 -0.106 -0.34 0.384 0.531 -0.017 0.161 0.264 -0.557 -0.531 0.559 -0.037 -0.363 -0.308 0.262 -0.62 0.088 -0.131 0.077 0.314 -0.191 0.405 -0.666 -0.209 0.017 -0.391 -0.282 0.834 -0.021 -0.469 -0.179 0.471 0.49 0.554 0.379 -0.569 0.52 0.066 -0.038 -0.3 0.032 -0.181 -0.013 -0.256 0.397 0.305 0.545 -0.267 0.374
"PEX13" -0.51 0.78 -0.693 -0.8 0.68 -0.816 -0.242 0.765 -0.409 0.048 0.517 -0.073 1 0.244 -0.773 0.123 -0.667 -0.842 -0.844 -0.709 -0.515 -0.103 0.602 -0.975 -0.593 0.54 -0.754 -0.592 0.566 0.153 -0.228 -0.825 0.512 -0.209 -0.571 -0.791 0.202 0.728 -0.865 0.018 -0.294 -0.685 -0.161 -0.542 -0.72 -0.217 -0.377 -0.48 -0.659 0.609 0.573 0.391 -0.185 -0.27 0.134 0.363 -0.861 -0.566 0.132 -0.337 0.009 -0.575 0.432 -0.394 0.107 -0.631 -0.406
"POU4F3" -0.478 -0.054 -0.17 -0.618 0.825 -0.144 -0.877 0.772 -0.262 0.874 0.902 0.591 0.244 1 -0.452 0.766 -0.104 -0.345 -0.66 -0.038 -0.11 0.894 0.848 -0.175 0.383 0.873 -0.593 -0.401 0.912 0.73 0.131 -0.646 0.869 -0.661 -0.064 -0.094 -0.44 0.173 -0.686 0.454 -0.941 -0.536 0.301 -0.064 -0.593 0.843 0.418 -0.738 -0.554 0.915 0.861 0.773 0.144 0.007 0.982 -0.242 -0.44 -0.144 -0.397 0.297 0.455 -0.128 0.842 -0.371 0.92 -0.738 0.194
"EPHB3" 0.777 -0.638 0.628 0.631 -0.575 0.815 0.425 -0.842 0.584 -0.04 -0.475 -0.162 -0.773 -0.452 1 0.044 0.8 0.393 0.887 0.404 0.467 -0.207 -0.747 0.773 0.496 -0.478 0.841 0.595 -0.628 -0.309 0.28 0.842 -0.427 0.513 -0.03 0.766 -0.288 -0.83 0.828 0.226 0.317 0.553 0.257 0.532 0.543 -0.115 0.071 0.261 0.356 -0.724 -0.59 -0.294 -0.334 0.331 -0.331 -0.636 0.858 0.755 0.131 0.42 -0.457 0.602 -0.264 -0.014 -0.145 0.376 0.632
"NRXN1" -0.069 -0.127 0.122 -0.592 0.745 0.164 -0.605 0.443 0.2 0.891 0.852 0.25 0.123 0.766 0.044 1 0.392 -0.514 -0.362 -0.012 0.142 0.738 0.498 0.005 0.596 0.842 -0.171 -0.084 0.674 0.701 0.425 -0.342 0.872 -0.263 -0.461 0.241 -0.75 -0.292 -0.465 0.682 -0.835 -0.438 0.548 0.261 -0.521 0.575 0.388 -0.807 -0.655 0.63 0.667 0.73 -0.362 0.34 0.82 -0.753 -0.164 0.346 -0.284 0.656 0.123 0.196 0.92 -0.792 0.912 -0.829 0.534
"PTPN11" 0.564 -0.484 0.857 0.312 -0.293 0.8 0.288 -0.607 0.852 0.152 -0.097 -0.351 -0.667 -0.104 0.8 0.392 1 0.3 0.611 0.629 0.749 0.239 -0.543 0.786 0.782 -0.094 0.812 0.772 -0.355 0.296 0.707 0.677 -0.045 0.33 0.046 0.904 -0.719 -0.983 0.542 0.165 0.106 0.459 0.558 0.858 0.451 0.01 0.54 0.081 0.237 -0.403 -0.375 -0.208 -0.3 0.663 0.045 -0.858 0.681 0.92 -0.139 0.825 0.025 0.803 0.006 -0.398 0.178 0.128 0.46
"CHL1" 0.194 -0.494 0.501 0.808 -0.785 0.482 0.309 -0.647 0.176 -0.392 -0.667 -0.021 -0.842 -0.345 0.393 -0.514 0.3 1 0.67 0.665 0.359 -0.008 -0.529 0.78 0.248 -0.682 0.588 0.478 -0.625 -0.218 0.025 0.68 -0.686 0.141 0.871 0.482 0.143 -0.379 0.767 -0.398 0.52 0.679 -0.142 0.332 0.771 0.068 0.312 0.772 0.832 -0.592 -0.629 -0.599 0.477 0.142 -0.278 0.141 0.623 0.19 -0.2 -0.007 0.216 0.326 -0.717 0.712 -0.398 0.861 -0.058
"NF2" 0.802 -0.669 0.659 0.909 -0.873 0.8 0.652 -0.976 0.527 -0.356 -0.791 -0.184 -0.844 -0.66 0.887 -0.362 0.611 0.67 1 0.564 0.524 -0.401 -0.907 0.811 0.355 -0.804 0.828 0.691 -0.806 -0.465 0.212 0.976 -0.769 0.406 0.325 0.724 -0.066 -0.707 0.985 -0.188 0.611 0.825 0.157 0.508 0.836 -0.244 0.095 0.55 0.73 -0.895 -0.858 -0.645 0.038 0.096 -0.582 -0.303 0.949 0.632 0.29 0.223 -0.287 0.612 -0.643 0.353 -0.431 0.742 0.286
"ROBO1" 0.492 -0.648 0.918 0.604 -0.502 0.792 0.369 -0.54 0.698 -0.024 -0.295 -0.106 -0.709 -0.038 0.404 -0.012 0.629 0.665 0.564 1 0.905 0.275 -0.501 0.814 0.768 -0.333 0.51 0.85 -0.254 0.369 0.734 0.689 -0.312 -0.26 0.712 0.856 -0.579 -0.722 0.549 -0.471 0.229 0.819 0.626 0.865 0.806 0.157 0.855 0.244 0.752 -0.314 -0.534 -0.57 0.544 0.155 0.011 -0.39 0.724 0.703 0.089 0.666 0.608 0.868 -0.328 0.106 0.094 0.493 -0.136
